,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),AT (degree C),Temp (degree C),SR (W/mt2),RH (%),WS (m/s),WD (degree),BP (mmHg),RF (mm),SO2 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Eth-Benzene,MP-Xylene,O Xylene,Toluene (ug/m3),VWS (m/s),TOT-RF (mm)
203,29-Jul-2019 - 11:00,29-Jul-2019 - 12:00,,,,,,,,,,,,,,,,,,,,,,,0.0
204,29-Jul-2019 - 12:00,29-Jul-2019 - 13:00,,,,,,,,,,,,,,,,,,,,,,,0.0
205,29-Jul-2019 - 13:00,29-Jul-2019 - 14:00,,,,,,,,,,,,,,,,,,,,,,,0.0
206,29-Jul-2019 - 14:00,29-Jul-2019 - 15:00,,,,,,,,,,,,,,,,,,,,,,,0.0
207,29-Jul-2019 - 15:00,29-Jul-2019 - 16:00,,,,,,,,,,,,,,,,,,,,,,,0.0
208,29-Jul-2019 - 16:00,29-Jul-2019 - 17:00,,,,,,,,,,,,,,,,,,,,,,,0.0
209,29-Jul-2019 - 17:00,29-Jul-2019 - 18:00,,,,,,,,,,,,,,,,,,,,,,,0.0
210,29-Jul-2019 - 18:00,29-Jul-2019 - 19:00,,,,,,,,,,,,,,,,,,,,,,,0.0
211,29-Jul-2019 - 19:00,29-Jul-2019 - 20:00,,,,,,,,,,,,,,,,,,,,,,,0.0
212,29-Jul-2019 - 20:00,29-Jul-2019 - 21:00,,,,,,,,,,,,,,,,,,,,,,,0.0
213,29-Jul-2019 - 21:00,29-Jul-2019 - 22:00,,,,,,,,,,,,,,,,,,,,,,,0.0
214,29-Jul-2019 - 22:00,29-Jul-2019 - 23:00,,,,,,,,,,,,,,,,,,,,,,,0.0
215,29-Jul-2019 - 23:00,30-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,,0.0
216,30-Jul-2019 - 00:00,30-Jul-2019 - 01:00,,,,,,,,,,,,,,,,,,,,,,,0.0
217,30-Jul-2019 - 01:00,30-Jul-2019 - 02:00,,,,,,,,,,,,,,,,,,,,,,,0.0
218,30-Jul-2019 - 02:00,30-Jul-2019 - 03:00,,,,,,,,,,,,,,,,,,,,,,,0.0
